"db" "query" "genus" "class" "phylum"
"ncbi" "Streptomyces mirabilis" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Cystobacter violaceus Cb vi76" "Archangium" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Nocardioides sp. Leaf307" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Devosia sp. DBB001" "Devosia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium sp. E1214" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Azospirillum lipoferum 4B" "Azospirillum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bosea sp. LC85" "Bosea" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Alicyclobacillus macrosporangiidus" "Alicyclobacillus" "Bacilli" "Firmicutes"
"ncbi" "Bosea sp. BIWAKO-01" "Bosea" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium japonicum SEMIA 5079" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Arenimonas oryziterrae DSM 21050 = YC6267" "Arenimonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Archaeoglobus sulfaticallidus PM70-1" "Archaeoglobus" "Archaeoglobi" "Euryarchaeota"
"ncbi" "Mycobacterium vanbaalenii PYR-1" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Sinorhizobium americanum" "Sinorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Phenylobacterium zucineum HLK1" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidovorax sp. RAC01" "Acidovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Acidihalobacter prosperus" "Acidihalobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium chelonae CCUG 47445" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Pedosphaera parvula Ellin514" "Pedosphaera" "Verrucomicrobiae" "Verrucomicrobia"
"ncbi" "Candidatus Thorarchaeota archaeon SMTZ-45" NA NA "Candidatus Thorarchaeota"
"ncbi" "Mycobacterium sp. E2989" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Methyloceanibacter methanicus" "Methyloceanibacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia sp. OLGA172" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Streptomyces sp. Mg1" "Streptomyces" "Actinobacteria" "Actinobacteria"
"ncbi" "Curvibacter putative symbiont of Hydra magnipapillata" "Curvibacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium sp. E2978" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Comamonas testosteroni" "Comamonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Roseomonas sp. M3" "Roseomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Gloeobacter kilaueensis JS1" "Gloeobacter" "Gloeobacteria" "Cyanobacteria"
"ncbi" "Novosphingobium fuchskuhlense" "Novosphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia sp. ST111" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium immunogenum" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Mycobacterium sp. EPa45" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Novosphingobium sp. MD-1" "Novosphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Chloroherpeton thalassium ATCC 35110" "Chloroherpeton" "Chlorobia" "Chlorobi"
"ncbi" "Geoalkalibacter subterraneus" "Geoalkalibacter" "Deltaproteobacteria" "Proteobacteria"
"ncbi" "[Polyangium] brachysporum" NA NA "Proteobacteria"
"ncbi" "Phenylobacterium sp. SCN 70-31" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Pseudorhodoferax sp. Leaf265" "Pseudorhodoferax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Mucilaginibacter sp. PAMC 26640" "Mucilaginibacter" "Sphingobacteriia" "Bacteroidetes"
"ncbi" "Noviherbaspirillum sp. Root189" "Noviherbaspirillum" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Methylococcus capsulatus str. Bath" "Methylococcus" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Afipia sp. 64-13" "Afipia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Variovorax paradoxus" "Variovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. Ghvi" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Betaproteobacteria bacterium SG8_41" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Phenylobacterium sp. SCN 69-14" "Phenylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Devosia sp. Root436" "Devosia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Comamonas testosteroni CNB-2" "Comamonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Afipia broomeae ATCC 49717" "Afipia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Salmonella enterica subsp. enterica serovar Infantis" "Salmonella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Achromobacter spanius" "Achromobacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Asticcacaulis sp. AC460" "Asticcacaulis" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Agrobacterium sp. DSM 25558" "Agrobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium gordonae" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Rhizobium sp. Root651" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. TDK1" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Pseudomonas sp. MT-1" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Variovorax sp. CF079" "Variovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonadales bacterium 63-6" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonadales bacterium RIFCSPHIGHO2_01_FULL_65_20" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bacillus coagulans DSM 1 = ATCC 7050" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Bradyrhizobium sp. cf659" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acetobacteraceae bacterium AT-5844" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Blastomonas sp. CACIA14H2" "Blastomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Fictibacillus enclensis" "Fictibacillus" "Bacilli" "Firmicutes"
"ncbi" "Bradyrhizobium diazoefficiens SEMIA 5080" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Agrobacterium sp. 13-626" "Agrobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. NAS80.1" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Alphaproteobacteria bacterium 13_1_20CM_3_64_12" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderiales bacterium 66-5" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "endosymbiont of Loripes lucinalis" "Candidatus Thiodiazotropha" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Herbaspirillum sp. GW103" "Herbaspirillum" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Collimonas sp. OK242" "Collimonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Skermanella stibiiresistens SB22" "Skermanella" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobiales bacterium 62-47" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Brevundimonas sp. AAP58" "Brevundimonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobium sp. C100" "Sphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Gammaproteobacteria bacterium RBG_16_51_14" NA "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Planctomyces sp. SH-PL62" "Planctomyces" "Planctomycetia" "Planctomycetes"
"ncbi" "Rhizobiales bacterium 64-17" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Marinobacter lutaoensis" "Marinobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia sp. MR1" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Alphaproteobacteria bacterium RIFOXYD12_FULL_60_8" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium sp. ST-F2" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Comamonas testosteroni CNB-1" "Comamonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Beijerinckia sp. 28-YEA-48" "Beijerinckia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia oklahomensis C6786" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Lysobacter gummosus" "Lysobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Gammaproteobacteria bacterium SCGC AG-212-F23" NA "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Methylobacterium nodulans ORS 2060" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. Root241" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bordetella sp. H567" "Bordetella" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Marinobacterium sp. AK27" "Marinobacterium" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Thiomonas bhubaneswarensis" "Thiomonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Methylobacterium extorquens DM4" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bordetella bronchiseptica MBORD707" "Bordetella" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Acidiphilium cryptum JF-5" "Acidiphilium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Aurantimonas sp. Leaf443" "Aurantimonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium sp. 1245852.3" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Methylothermaceae bacteria B42" NA "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Variovorax sp. EL159" "Variovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobium sp. CF080" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Allochromatium vinosum DSM 180" "Allochromatium" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Pseudoxanthobacter soli DSM 19599" "Pseudoxanthobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobium sp. HDIP04" "Sphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Novosphingobium barchaimii" "Novosphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acetobacter malorum" "Acetobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Pseudomonas batumici" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobium grahamii CCGE 502" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Parcubacteria bacterium GW2011_GWC1_38_22" NA NA "Parcubacteria"
"ncbi" "Polaromonas sp. YR568" "Polaromonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. NFR15" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas rubra" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Microvirga sp. BSC39" "Microvirga" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "delta proteobacterium MLMS-1" NA "Deltaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia cepacia" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bordetella trematum" "Bordetella" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. RIT328" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Afipia sp. 1NLS2" "Afipia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia sp. MP-1" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Variovorax sp. HW608" "Variovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia panaciterrae" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Thiohalospira halophila DSM 15071" "Thiohalospira" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Methylomonas lenta" "Methylomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Mesorhizobium loti" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Frateuria terrea" "Frateuria" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Microgenomates (Daviesbacteria) bacterium GW2011_GWF2_38_6" NA NA "Candidatus Microgenomates"
"ncbi" "Sphingomonas changbaiensis NBRC 104936" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. Leaf23" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Phycicoccus sp. Soil803" "Phycicoccus" "Actinobacteria" "Actinobacteria"
"ncbi" "Methylosinus trichosporium OB3b" "Methylosinus" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobium sp. YBL2" "Sphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobium baderi" "Sphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium sp. Root265" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Betaproteobacteria bacterium SG8_40" NA "Betaproteobacteria" "Proteobacteria"
"ncbi" "Inquilinus limosus MP06" "Inquilinus" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Ramlibacter tataouinensis" "Ramlibacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia sp. H160" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Paraburkholderia sediminicola" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Caulobacter vibrioides" "Caulobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Methylobacterium sp. yr596" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Pseudacidovorax intermedius" "Pseudacidovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobium sp. LPU83" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobium sp. LC145" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Pseudomonas seleniipraecipitans" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Paenibacillus barengoltzii G22" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Bradyrhizobium sp. err11" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sanguinis" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Pandoraea pnomenusa" "Pandoraea" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. BR 10303" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. DFCI-1" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia megalochromosomata" "Caballeronia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Salinicola sp. MH3R3-1" "Salinicola" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Acidocella sp. MM9" "Acidocella" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Variovorax sp. YR634" "Variovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Caulobacteraceae bacterium OTSz_A_272" NA "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mesorhizobium muleiense" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Pseudomonas sp. Leaf83" "Pseudomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Comamonas testosteroni S44" "Comamonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Belnapia rosea" "Belnapia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Azospirillum sp. B510" "Azospirillum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Shewanella sp. ANA-3" "Shewanella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Roseomonas mucosa" "Roseomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Hyphomonas adhaerens MHS-3" "Hyphomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. Leaf10" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Janthinobacterium sp. HH01" "Janthinobacterium" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia xenovorans LB400" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Variovorax sp. CF313" "Variovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Stenotrophomonas sp. HMSC10F06" "Stenotrophomonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobium sp. AC27/96" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia phytofirmans PsJN" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Marinobacter pelagius" "Marinobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Variovorax paradoxus B4" "Variovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "bacterium YEK0313" NA NA "bacterium YEK0313"
"ncbi" "Sphingobium sp. Ant17" "Sphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Escherichia coli" "Escherichia" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Halothiobacillus sp. WRN-7" "Halothiobacillus" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobium chungbukense" "Sphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Ramlibacter sp. Leaf400" "Ramlibacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium sp. 1245111.1" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Mycobacterium fortuitum" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Rhodococcus sp. WB1" "Rhodococcus" "Actinobacteria" "Actinobacteria"
"ncbi" "Pseudoalteromonas porphyrae" "Pseudoalteromonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Afipia sp. 62-7" "Afipia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rhodanobacter sp. 68-29" "Rhodanobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Ralstonia solanacearum MolK2" "Ralstonia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Alcanivorax pacificus W11-5" "Alcanivorax" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Bacillus okhensis" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Candidatus Methylopumilus turicensis" "Candidatus Methylopumilus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Paracoccus yeei" "Paracoccus" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Microbulbifer yueqingensis" "Microbulbifer" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia sp. HB1" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Nitrosospira sp. APG3" "Nitrosospira" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. WHSC-8" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobium baderi LL03" "Sphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Acidovorax sp. Root219" "Acidovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia monticola" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Geobacillus sp. WCH70" "Geobacillus" "Bacilli" "Firmicutes"
"ncbi" "Bacillus azotoformans LMG 9581" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Cyanobium sp. CACIAM 14" "Cyanobium" NA "Cyanobacteria"
"ncbi" "Mesorhizobium ciceri biovar biserrulae" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mesorhizobium sp. LSJC280B00" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mesorhizobium sp. ORS3428" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sinorhizobium meliloti Rm41" "Sinorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. SCN 67-18" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mycobacterium sp. 1245499.0" "Mycobacterium" "Actinobacteria" "Actinobacteria"
"ncbi" "Sphingomonas paucimobilis" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Alkalilimnicola ehrlichii MLHE-1" "Alkalilimnicola" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Rhodospirillum centenum SW" "Rhodospirillum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. Gha" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia glathei PML1(12)" NA NA "Proteobacteria"
"ncbi" "Rhizobium sp. Leaf306" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Achromobacter piechaudii HLE" "Achromobacter" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Variibacter gotjawalensis" "Variibacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bacillus simplex" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Novosphingobium resinovorum" "Novosphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium sp. YR681" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Comamonas sp. E6" "Comamonas" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Aneurinibacillus sp. XH2" "Aneurinibacillus" "Bacilli" "Firmicutes"
"ncbi" "Azotobacter vinelandii CA6" "Azotobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. Root710" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Rhodococcus erythropolis CCM2595" "Rhodococcus" "Actinobacteria" "Actinobacteria"
"ncbi" "Burkholderia fungorum" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia multivorans" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Bradyrhizobium diazoefficiens USDA 110" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingobium herbicidovorans NBRC 16415" "Sphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Phyllobacterium sp. YR620" "Phyllobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Hoeflea phototrophica DFL-43" "Hoeflea" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Luteimonas sp. JM171" "Luteimonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Paenibacillus sp. yr247" "Paenibacillus" "Bacilli" "Firmicutes"
"ncbi" "Shewanella mangrovi" "Shewanella" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia sp. NFPP32" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Agrobacterium tumefaciens" "Agrobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Marinobacter excellens HL-55" "Marinobacter" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobium sp. Root268" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Novosphingobium sp. AP12" "Novosphingobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Bosea robiniae" "Bosea" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Ralstonia pickettii 12D" "Ralstonia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Rhizobium sp. AC44/96" "Rhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Ochrobactrum tritici" "Ochrobactrum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. Leaf30" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Ensifer sp. LC54" "Ensifer" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Mesorhizobium sp. L2C089B000" "Mesorhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Sphingomonas sp. Leaf5" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Polymorphum gilvum SL003B-26A1" "Polymorphum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Thioploca ingrica" "Thioploca" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Paraburkholderia caribensis" "Paraburkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Ferrimonas balearica DSM 9799" "Ferrimonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia plantarii" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Parcubacteria bacterium GW2011_GWB1_40_14" NA NA "Parcubacteria"
"ncbi" "Bradyrhizobium liaoningense" "Bradyrhizobium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia sp. WP9" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Caulobacter sp. K31" "Caulobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Kaistia soli DSM 19436" "Kaistia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Azospirillum thiophilum" "Azospirillum" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Alicyclobacillus ferrooxydans" "Alicyclobacillus" "Bacilli" "Firmicutes"
"ncbi" "Sphingomonas sp. S6-262" "Sphingomonas" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Alicycliphilus sp. EPL6" "Alicycliphilus" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Nocardioides sp. Root1257" "Nocardioides" "Actinobacteria" "Actinobacteria"
"ncbi" "Bacillus vireti" "Bacillus" "Bacilli" "Firmicutes"
"ncbi" "Bosea sp. Root670" "Bosea" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Tolumonas auensis DSM 9187" "Tolumonas" "Gammaproteobacteria" "Proteobacteria"
"ncbi" "Bartonella vinsonii subsp. arupensis Pm136co" "Bartonella" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Burkholderia multivorans ATCC 17616" "Burkholderia" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Methylobacterium sp. 275MFSha3.1" "Methylobacterium" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Devosia insulae DS-56" "Devosia" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Altererythrobacter namhicola" "Altererythrobacter" "Alphaproteobacteria" "Proteobacteria"
"ncbi" "Flavobacterium glycines" "Flavobacterium" "Flavobacteriia" "Bacteroidetes"
"ncbi" "Acidovorax sp. GW2" "Acidovorax" "Betaproteobacteria" "Proteobacteria"
"ncbi" "Nocardioides sp. CF8" "Nocardioides" "Actinobacteria" "Actinobacteria"
